,Year,Term,TermYear,Course,Course Title,ACP,CS,HUM,NAT,QR,SBS,Subject,Number
125,2023,Spring,2023-sp,ANTH 222,Introduction to Modern Africa,,Non-Western Cultures,,,,,ANTH,222
126,2023,Spring,2023-sp,ANTH 224,Tourist Cities and Sites,,,,,,Social Sciences,ANTH,224
127,2023,Spring,2023-sp,ANTH 241,Human Biological Variation,,,,Life Sciences,,,ANTH,241
128,2023,Spring,2023-sp,ANTH 246,Forensic Science,,,,Life Sciences,,,ANTH,246
129,2023,Spring,2023-sp,ANTH 248,Introduction to Engaged and Public Anthropology,,Non-Western Cultures,,,,Social Sciences,ANTH,248
130,2023,Spring,2023-sp,ANTH 249,Evolution and Human Disease,,,,Life Sciences,,,ANTH,249
131,2023,Spring,2023-sp,ANTH 250,The World Through Museums,,Western/Comparative Cultures,,,,Social Sciences,ANTH,250
132,2023,Spring,2023-sp,ANTH 259,Latina/o Anthropology,,US Minority Cultures,,,,Social Sciences,ANTH,259
133,2023,Spring,2023-sp,ANTH 261,Intro to the African Diaspora,,US Minority Cultures,Historical & Philosophical Perspectives,,,,ANTH,261
134,2023,Spring,2023-sp,ANTH 262,Women's Lives,,,,,,Social Sciences,ANTH,262
135,2023,Spring,2023-sp,ANTH 263,"Body, Personhood, and Culture",,,,,,Social Sciences,ANTH,263
136,2023,Spring,2023-sp,ANTH 266,African Film and Society,,Non-Western Cultures,,,,,ANTH,266
137,2023,Spring,2023-sp,ANTH 268,Images of the Other,Advanced Composition,Western/Comparative Cultures,Historical & Philosophical Perspectives,,,,ANTH,268
138,2023,Spring,2023-sp,ANTH 270,Language in Culture,Advanced Composition,,,,,Social Sciences,ANTH,270
139,2023,Spring,2023-sp,ANTH 272,Language and Culture in Turkey,,Non-Western Cultures,,,,,ANTH,272
140,2023,Spring,2023-sp,ANTH 277,"Ancient Cities, Sacred Land",,Western/Comparative Cultures,,,,Social Sciences,ANTH,277
141,2023,Spring,2023-sp,ANTH 278,Climate Change & Civilization,,Non-Western Cultures,,,,,ANTH,278
142,2023,Spring,2023-sp,ANTH 279,"Economy, Business & Society",,Western/Comparative Cultures,,,,Social Sciences,ANTH,279
143,2023,Spring,2023-sp,ANTH 285,Intro to Korea Through Film,,Non-Western Cultures,,,,,ANTH,285
144,2023,Spring,2023-sp,ANTH 288,American Indians of Illinois,,US Minority Cultures,Historical & Philosophical Perspectives,,,,ANTH,288
145,2023,Spring,2023-sp,ANTH 290,Jewish Cultures of the World,,Non-Western Cultures,,,,,ANTH,290
146,2023,Spring,2023-sp,ANTH 339,Industrial Heritage and Communities,,,,,,Social Sciences,ANTH,339
147,2023,Spring,2023-sp,ANTH 393,The World of Jewish Sepharad,,Western/Comparative Cultures,Historical & Philosophical Perspectives,,,,ANTH,393
148,2023,Spring,2023-sp,ANTH 414,Writing Ethnography,Advanced Composition,,,,,,ANTH,414
149,2023,Spring,2023-sp,ARAB 150,Lang&Culture of Arab World,,Non-Western Cultures,,,,,ARAB,150
150,2023,Spring,2023-sp,ARCH 164,Architecture as a Second Language,,,Literature & the Arts,,,,ARCH,164
151,2023,Spring,2023-sp,ARCH 222,Islamic Gardens & Architecture,,Non-Western Cultures,Historical & Philosophical Perspectives,,,,ARCH,222
152,2023,Spring,2023-sp,ARCH 314,History of World Landscapes,Advanced Composition,Western/Comparative Cultures,Historical & Philosophical Perspectives,,,,ARCH,314
153,2023,Spring,2023-sp,ART 100,Understanding Visual Culture,,,Literature & the Arts,,,,ART,100
154,2023,Spring,2023-sp,ART 102,Drawing for Non-Majors,,,Literature & the Arts,,,,ART,102
155,2023,Spring,2023-sp,ART 103,Painting for Non-Majors,,,Literature & the Arts,,,,ART,103
156,2023,Spring,2023-sp,ART 104,Sculpture for Non-Majors,,,Literature & the Arts,,,,ART,104
157,2023,Spring,2023-sp,ART 105,Visual Design for Non-Majors,,,Literature & the Arts,,,,ART,105
158,2023,Spring,2023-sp,ART 140,Introduction to Art,,,Literature & the Arts,,,,ART,140
159,2023,Spring,2023-sp,ART 205,Experience & Meaning in Design,,Western/Comparative Cultures,,,,BSC,ART,205
160,2023,Spring,2023-sp,ART 208,Digital Art and Sustainability,,,Literature & the Arts,,,,ART,208
161,2023,Spring,2023-sp,ART 221,Visual Culture of Fandoms,,,Literature & the Arts,,,,ART,221
162,2023,Spring,2023-sp,ART 240,Learning Through Contemporary Art,,,Literature & the Arts,,,,ART,240
163,2023,Spring,2023-sp,ART 280,Exploring Visual Culture,,Western/Comparative Cultures,Literature & the Arts,,,,ART,280
164,2023,Spring,2023-sp,ART 310,Design Thinking,,,Literature & the Arts,,,,ART,310
165,2023,Spring,2023-sp,ARTD 240,eWaste: Sustainable Design,,,Literature & the Arts,,,,ARTD,240
166,2023,Spring,2023-sp,ARTH 110,Introduction to the History of Art and Visual Culture,,Western/Comparative Cultures,Literature & the Arts,,,,ARTH,110
167,2023,Spring,2023-sp,ARTH 111,Ancient to Medieval Art,,,Literature & the Arts,,,,ARTH,111
168,2023,Spring,2023-sp,ARTH 112,Renaissance to Modern Art,,,Literature & the Arts,,,,ARTH,112
169,2023,Spring,2023-sp,ARTH 211,Design History Survey,,,Literature & the Arts,,,,ARTH,211
170,2023,Spring,2023-sp,ARTH 212,East Asian Art History,,Non-Western Cultures,Literature & the Arts,,,,ARTH,212
171,2023,Spring,2023-sp,ARTH 214,Art in China,,Non-Western Cultures,,,,,ARTH,214
172,2023,Spring,2023-sp,ARTH 217,Development of Ancient Cities,,Western/Comparative Cultures,Historical & Philosophical Perspectives,,,,ARTH,217
173,2023,Spring,2023-sp,ARTH 219,Islamic Gardens & Architecture,,Non-Western Cultures,Historical & Philosophical Perspectives,,,,ARTH,219
174,2023,Spring,2023-sp,ARTH 241,"Modern Art, 1880-1940",,,Literature & the Arts,,,,ARTH,241
175,2023,Spring,2023-sp,ARTH 242,Art Since 1940,,,Literature & the Arts,,,,ARTH,242
176,2023,Spring,2023-sp,ARTH 260,Graffiti and Murals,,Western/Comparative Cultures,Literature & the Arts,,,,ARTH,260
177,2023,Spring,2023-sp,ARTJ 209,Chado (The Way of Tea),,Non-Western Cultures,,,,,ARTJ,209
178,2023,Spring,2023-sp,ARTJ 301,Manga: The Art of Image and Word,,Non-Western Cultures,Literature & the Arts,,,,ARTJ,301
179,2023,Spring,2023-sp,ARTJ 302,Intro to Japanese Animation,,Non-Western Cultures,Historical & Philosophical Perspectives,,,,ARTJ,302
180,2023,Spring,2023-sp,ARTS 220,Introduction to Fashion,,,Literature & the Arts,,,,ARTS,220
181,2023,Spring,2023-sp,ASST 104,Asian Mythology,,Non-Western Cultures,Historical & Philosophical Perspectives,,,,ASST,104
182,2023,Spring,2023-sp,ASST 208,Cultures & Literatures of South Asia,,Non-Western Cultures,Literature & the Arts,,,,ASST,208
183,2023,Spring,2023-sp,ASTR 100,Introduction to Astronomy,,,,Physical Sciences,,,ASTR,100
184,2023,Spring,2023-sp,ASTR 121,Solar System and Worlds Beyond,,,,Physical Sciences,Quantitative Reasoning 2,,ASTR,121
185,2023,Spring,2023-sp,ASTR 122,Stars and Galaxies,,,,Physical Sciences,Quantitative Reasoning 2,,ASTR,122
186,2023,Spring,2023-sp,ASTR 150,Killer Skies: Astro-Disasters,,,,Physical Sciences,,,ASTR,150
187,2023,Spring,2023-sp,ASTR 401,Scientific Writing for Astronomy,Advanced Composition,,,,,,ASTR,401
188,2023,Spring,2023-sp,ASTR 490,Senior Thesis,Advanced Composition,,,,,,ASTR,490
189,2023,Spring,2023-sp,ATMS 100,Introduction to Meteorology,,,,Physical Sciences,,,ATMS,100
190,2023,Spring,2023-sp,ATMS 120,Severe and Hazardous Weather,,,,Physical Sciences,Quantitative Reasoning 2,,ATMS,120
191,2023,Spring,2023-sp,ATMS 140,Climate and Global Change,,,,Physical Sciences,,,ATMS,140
192,2023,Spring,2023-sp,ATMS 202,General Physical Climate,,,,,Quantitative Reasoning 2,,ATMS,202
193,2023,Spring,2023-sp,ATMS 315,Meteorological Instrumentation,Advanced Composition,,,,,,ATMS,315
194,2023,Spring,2023-sp,ATMS 322,Soc Impacts Weather & Climate,,,,,,Social Sciences,ATMS,322
195,2023,Spring,2023-sp,BADM 340,Ethical Dilemmas of Business,Advanced Composition,,,,,,BADM,340
196,2023,Spring,2023-sp,BCS 115,South Slavic Cultures,,Non-Western Cultures,,,,Social Sciences,BCS,115
197,2023,Spring,2023-sp,BCS 215,Yugoslavia and After,,Western/Comparative Cultures,,,,,BCS,215
198,2023,Spring,2023-sp,BIOC 460,Biochemistry Senior Seminar,Advanced Composition,,,,,,BIOC,460
199,2023,Spring,2023-sp,BTW 250,Principles Bus Comm,Advanced Composition,,,,,,BTW,250
200,2023,Spring,2023-sp,BTW 261,Principles Tech Comm,Advanced Composition,,,,,,BTW,261
201,2023,Spring,2023-sp,BTW 263,Writing in the Disciplines,Advanced Composition,,,,,,BTW,263
202,2023,Spring,2023-sp,BTW 280,Global Business Communication,Advanced Composition,,,,,,BTW,280
203,2023,Spring,2023-sp,BTW 285,Writing a Web Presence,Advanced Composition,,,,,,BTW,285
204,2023,Spring,2023-sp,CEE 300,Behavior of Materials,Advanced Composition,,,,,,CEE,300
205,2023,Spring,2023-sp,CHBE 101,Hidden World of Engineering,,,,Physical Sciences,,,CHBE,101
