Column,Year,Term,TermYear,Course,Course Title,ACP,CS,HUM,NAT,QR,SBS,Subject,Number,Advanced Composition,Non-Western Cultures,US Minority Cultures,Western/Comparative Cultures,Literature & the Arts,Historical & Philosophical Perspectives,Physical Sciences,Life Sciences,Quantitative Reasoning 2,Quantitative Reasoning 1,Behavioral Sciences,Social Sciences,General Education
97,2023,Spring,2023-sp,AIS 295,US Citizenship Comparatively,,US Minority Cultures,Historical & Philosophical Perspectives,,,,AIS,295,,,US Minority Cultures,,,Historical & Philosophical Perspectives,,,,,,,"US Minority Cultures,Historical & Philosophical Perspectives"
98,2023,Spring,2023-sp,ANSC 110,Life With Animals and Biotech,,,,Life Sciences,,,ANSC,110,,,,,,,,Life Sciences,,,,,Life Sciences
99,2023,Spring,2023-sp,ANSC 205,World Animal Resources,Advanced Composition,,,,,,ANSC,205,Advanced Composition,,,,,,,,,,,,Advanced Composition
100,2023,Spring,2023-sp,ANSC 207,The Science of Pets and How to Care for Them,,,,Life Sciences,,,ANSC,207,,,,,,,,Life Sciences,,,,,Life Sciences
101,2023,Spring,2023-sp,ANSC 250,Companion Animals in Society,,Western/Comparative Cultures,,,,,ANSC,250,,,,Western/Comparative Cultures,,,,,,,,,Western/Comparative Cultures
102,2023,Spring,2023-sp,ANSC 255,Animal Ethics,,,Historical & Philosophical Perspectives,,,,ANSC,255,,,,,,Historical & Philosophical Perspectives,,,,,,,Historical & Philosophical Perspectives
103,2023,Spring,2023-sp,ANSC 305,Human Animal Interactions,,,,,,Social Sciences,ANSC,305,,,,,,,,,,,,Social Sciences,Social Sciences
104,2023,Spring,2023-sp,ANTH 101,Introduction to Anthropology,,Western/Comparative Cultures,,,,Social Sciences,ANTH,101,,,,Western/Comparative Cultures,,,,,,,,Social Sciences,"Social Sciences,Western/Comparative Cultures"
105,2023,Spring,2023-sp,ANTH 102,Human Origins and Culture,,,,,,Social Sciences,ANTH,102,,,,,,,,,,,,Social Sciences,Social Sciences
106,2023,Spring,2023-sp,ANTH 103,Anthro in a Changing World,,Non-Western Cultures,,,,Social Sciences,ANTH,103,,Non-Western Cultures,,,,,,,,,,Social Sciences,"Social Sciences,Non-Western Cultures"
107,2023,Spring,2023-sp,ANTH 104,Talking Culture,,,,,,Social Sciences,ANTH,104,,,,,,,,,,,,Social Sciences,Social Sciences
108,2023,Spring,2023-sp,ANTH 105,World Archaeology,,,Historical & Philosophical Perspectives,,,,ANTH,105,,,,,,Historical & Philosophical Perspectives,,,,,,,Historical & Philosophical Perspectives
109,2023,Spring,2023-sp,ANTH 106,Hist Arch Americas,,US Minority Cultures,Historical & Philosophical Perspectives,,,,ANTH,106,,,US Minority Cultures,,,Historical & Philosophical Perspectives,,,,,,,"US Minority Cultures,Historical & Philosophical Perspectives"
110,2023,Spring,2023-sp,ANTH 108,Religion & Society in West I,,Western/Comparative Cultures,Historical & Philosophical Perspectives,,,,ANTH,108,,,,Western/Comparative Cultures,,Historical & Philosophical Perspectives,,,,,,,"Western/Comparative Cultures,Historical & Philosophical Perspectives"
111,2023,Spring,2023-sp,ANTH 109,Religion & Society in West II,,Western/Comparative Cultures,Historical & Philosophical Perspectives,,,,ANTH,109,,,,Western/Comparative Cultures,,Historical & Philosophical Perspectives,,,,,,,"Western/Comparative Cultures,Historical & Philosophical Perspectives"
112,2023,Spring,2023-sp,ANTH 110,Humanizing Science,,,,,,Social Sciences,ANTH,110,,,,,,,,,,,,Social Sciences,Social Sciences
113,2023,Spring,2023-sp,ANTH 126,Humans and Animals - Food or Friend?,,,,,,Social Sciences,ANTH,126,,,,,,,,,,,,Social Sciences,Social Sciences
114,2023,Spring,2023-sp,ANTH 130,History of South Asia,,Non-Western Cultures,Historical & Philosophical Perspectives,,,,ANTH,130,,Non-Western Cultures,,,,Historical & Philosophical Perspectives,,,,,,,"Non-Western Cultures,Historical & Philosophical Perspectives"
115,2023,Spring,2023-sp,ANTH 143,Biology of Human Behavior,,,,Life Sciences,,,ANTH,143,,,,,,,,Life Sciences,,,,,Life Sciences
116,2023,Spring,2023-sp,ANTH 157,The Archaeology of Illinois,,,Historical & Philosophical Perspectives,,,,ANTH,157,,,,,,Historical & Philosophical Perspectives,,,,,,,Historical & Philosophical Perspectives
117,2023,Spring,2023-sp,ANTH 160,Race and Contemporary Social Issues,,US Minority Cultures,,,,,ANTH,160,,,US Minority Cultures,,,,,,,,,,US Minority Cultures
118,2023,Spring,2023-sp,ANTH 165,Lang & Culture Native North Am,,Non-Western Cultures,,,,,ANTH,165,,Non-Western Cultures,,,,,,,,,,,Non-Western Cultures
119,2023,Spring,2023-sp,ANTH 175,Archaeology and Pop Culture,,,Historical & Philosophical Perspectives,,,,ANTH,175,,,,,,Historical & Philosophical Perspectives,,,,,,,Historical & Philosophical Perspectives
120,2023,Spring,2023-sp,ANTH 180,The Archaeology of Death,,Western/Comparative Cultures,,,,Social Sciences,ANTH,180,,,,Western/Comparative Cultures,,,,,,,,Social Sciences,"Social Sciences,Western/Comparative Cultures"
121,2023,Spring,2023-sp,ANTH 182,Latin American Cultures,,Non-Western Cultures,,,,Social Sciences,ANTH,182,,Non-Western Cultures,,,,,,,,,,Social Sciences,"Social Sciences,Non-Western Cultures"
122,2023,Spring,2023-sp,ANTH 209,"Food, Culture, and Society",,Western/Comparative Cultures,,,,Social Sciences,ANTH,209,,,,Western/Comparative Cultures,,,,,,,,Social Sciences,"Social Sciences,Western/Comparative Cultures"
123,2023,Spring,2023-sp,ANTH 210,Families in Global Perspective,,Non-Western Cultures,,,,Social Sciences,ANTH,210,,Non-Western Cultures,,,,,,,,,,Social Sciences,"Social Sciences,Non-Western Cultures"
124,2023,Spring,2023-sp,ANTH 221,Archaeology of South Asia,,Non-Western Cultures,,,,Social Sciences,ANTH,221,,Non-Western Cultures,,,,,,,,,,Social Sciences,"Social Sciences,Non-Western Cultures"
125,2023,Spring,2023-sp,ANTH 222,Introduction to Modern Africa,,Non-Western Cultures,,,,,ANTH,222,,Non-Western Cultures,,,,,,,,,,,Non-Western Cultures
126,2023,Spring,2023-sp,ANTH 224,Tourist Cities and Sites,,,,,,Social Sciences,ANTH,224,,,,,,,,,,,,Social Sciences,Social Sciences
127,2023,Spring,2023-sp,ANTH 241,Human Biological Variation,,,,Life Sciences,,,ANTH,241,,,,,,,,Life Sciences,,,,,Life Sciences
128,2023,Spring,2023-sp,ANTH 246,Forensic Science,,,,Life Sciences,,,ANTH,246,,,,,,,,Life Sciences,,,,,Life Sciences
129,2023,Spring,2023-sp,ANTH 248,Introduction to Engaged and Public Anthropology,,Non-Western Cultures,,,,Social Sciences,ANTH,248,,Non-Western Cultures,,,,,,,,,,Social Sciences,"Social Sciences,Non-Western Cultures"
130,2023,Spring,2023-sp,ANTH 249,Evolution and Human Disease,,,,Life Sciences,,,ANTH,249,,,,,,,,Life Sciences,,,,,Life Sciences
131,2023,Spring,2023-sp,ANTH 250,The World Through Museums,,Western/Comparative Cultures,,,,Social Sciences,ANTH,250,,,,Western/Comparative Cultures,,,,,,,,Social Sciences,"Social Sciences,Western/Comparative Cultures"
