Column,Year,Term,TermYear,Course,Course Title,ACP,CS,HUM,NAT,QR,SBS,Subject,Number,Advanced Composition,Non-Western Cultures,US Minority Cultures,Western/Comparative Cultures,Literature & the Arts,Historical & Philosophical Perspectives,Physical Sciences,Life Sciences,Quantitative Reasoning 2,Quantitative Reasoning 1,Behavioral Sciences,Social Sciences,GeneralEducation
43,2023,Spring,2023-sp,AFRO 100,Intro to African American St,Advanced Composition,US Minority Cultures,Historical & Philosophical Perspectives,Life Sciences,Quantitative Reasoning 1,Social Sciences,AFRO,100,,,US Minority Cultures,,,,,,,,,Social Sciences,Social Sciences
43,2023,Spring,2023-sp,AFRO 100,Intro to African American St,Advanced Composition,US Minority Cultures,Historical & Philosophical Perspectives,Life Sciences,Quantitative Reasoning 1,Social Sciences,AFRO,100,,,,,,,,,,,,,US Minority Cultures
44,2023,Spring,2023-sp,AFRO 101,"Black America, 1619-Present",Advanced Composition,US Minority Cultures,Historical & Philosophical Perspectives,Life Sciences,Quantitative Reasoning 1,Social Sciences,AFRO,101,,,US Minority Cultures,,,Historical & Philosophical Perspectives,,,,,,,US Minority Cultures
44,2023,Spring,2023-sp,AFRO 101,"Black America, 1619-Present",Advanced Composition,US Minority Cultures,Historical & Philosophical Perspectives,Life Sciences,Quantitative Reasoning 1,Social Sciences,AFRO,101,,,,,,,,,,,,,Historical & Philosophical Perspectives
45,2023,Spring,2023-sp,AFRO 103,Black Women in the Diaspora,Advanced Composition,US Minority Cultures,Historical & Philosophical Perspectives,Life Sciences,Quantitative Reasoning 1,Social Sciences,AFRO,103,,,US Minority Cultures,,,,,,,,,,US Minority Cultures
46,2023,Spring,2023-sp,AFRO 105,Black Literature in America,Advanced Composition,US Minority Cultures,Literature & the Arts,Life Sciences,Quantitative Reasoning 1,Social Sciences,AFRO,105,,,US Minority Cultures,,Literature & the Arts,,,,,,,,US Minority Cultures
46,2023,Spring,2023-sp,AFRO 105,Black Literature in America,Advanced Composition,US Minority Cultures,Literature & the Arts,Life Sciences,Quantitative Reasoning 1,Social Sciences,AFRO,105,,,,,,,,,,,,,Literature & the Arts
47,2023,Spring,2023-sp,AFRO 106,Hist Arch Americas,Advanced Composition,US Minority Cultures,Historical & Philosophical Perspectives,Life Sciences,Quantitative Reasoning 1,Social Sciences,AFRO,106,,,US Minority Cultures,,,Historical & Philosophical Perspectives,,,,,,,US Minority Cultures
47,2023,Spring,2023-sp,AFRO 106,Hist Arch Americas,Advanced Composition,US Minority Cultures,Historical & Philosophical Perspectives,Life Sciences,Quantitative Reasoning 1,Social Sciences,AFRO,106,,,,,,,,,,,,,Historical & Philosophical Perspectives
48,2023,Spring,2023-sp,AFRO 132,African American Music,Advanced Composition,US Minority Cultures,Literature & the Arts,Life Sciences,Quantitative Reasoning 1,Social Sciences,AFRO,132,,,US Minority Cultures,,Literature & the Arts,,,,,,,,US Minority Cultures
48,2023,Spring,2023-sp,AFRO 132,African American Music,Advanced Composition,US Minority Cultures,Literature & the Arts,Life Sciences,Quantitative Reasoning 1,Social Sciences,AFRO,132,,,,,,,,,,,,,Literature & the Arts
49,2023,Spring,2023-sp,AFRO 134,"Religion, Race, and Resistance",Advanced Composition,US Minority Cultures,Literature & the Arts,Life Sciences,Quantitative Reasoning 1,Social Sciences,AFRO,134,,,US Minority Cultures,,,,,,,,,,US Minority Cultures
50,2023,Spring,2023-sp,AFRO 201,US Racial & Ethnic Politics,Advanced Composition,US Minority Cultures,Literature & the Arts,Life Sciences,Quantitative Reasoning 1,Social Sciences,AFRO,201,,,US Minority Cultures,,,,,,,,,Social Sciences,Social Sciences
50,2023,Spring,2023-sp,AFRO 201,US Racial & Ethnic Politics,Advanced Composition,US Minority Cultures,Literature & the Arts,Life Sciences,Quantitative Reasoning 1,Social Sciences,AFRO,201,,,,,,,,,,,,,US Minority Cultures
51,2023,Spring,2023-sp,AFRO 211,Intro to African-American Film,Advanced Composition,US Minority Cultures,Literature & the Arts,Life Sciences,Quantitative Reasoning 1,Social Sciences,AFRO,211,,,US Minority Cultures,,,,,,,,,,US Minority Cultures
52,2023,Spring,2023-sp,AFRO 212,Intro African American Theat,Advanced Composition,US Minority Cultures,Literature & the Arts,Life Sciences,Quantitative Reasoning 1,Social Sciences,AFRO,212,,,US Minority Cultures,,,,,,,,,,US Minority Cultures
53,2023,Spring,2023-sp,AFRO 215,US Citizenship Comparatively,Advanced Composition,US Minority Cultures,Historical & Philosophical Perspectives,Life Sciences,Quantitative Reasoning 1,Social Sciences,AFRO,215,,,US Minority Cultures,,,Historical & Philosophical Perspectives,,,,,,,US Minority Cultures
